rep_seq	S1	S2	S3
S1_CAIHDJAA_00470	86.9909	NA	NA
S1_CAIHDJAA_00471	106.7941	NA	NA
S1_CAIHDJAA_00472	97.2593	NA	NA
S1_CAIHDJAA_00473	83.1778	NA	NA
S1_CAIHDJAA_00474	100.4938	NA	NA
S1_CAIHDJAA_00475	91.2667	NA	NA
S1_CAIHDJAA_00476	90.7299	NA	NA
S1_CAIHDJAA_00477	88.9513	NA	NA
S1_CAIHDJAA_00478	85.9	NA	NA
S1_CAIHDJAA_00479	94.5765	NA	NA
S1_CAIHDJAA_00480	100.1771	NA	NA
S1_CAIHDJAA_00481	96.1306	NA	NA
S1_CAIHDJAA_00482	99.3324	NA	NA
S1_CAIHDJAA_00483	82.4815	NA	NA
S1_CAIHDJAA_00484	94.9297	NA	NA
S1_CAIHDJAA_00485	99.5723	NA	NA
S1_CAIHDJAA_00486	166.1726	NA	NA
S1_CAIHDJAA_00487	77.7836	NA	NA
S1_CAIHDJAA_00488	97.6667	NA	NA
S1_CAIHDJAA_00489	107.4783	NA	NA
S1_CAIHDJAA_00490	95.2654	NA	NA
S1_CAIHDJAA_00491	89.2174	NA	NA
S1_CAIHDJAA_00492	113.6393	NA	NA
S1_CAIHDJAA_00493	91.2558	NA	NA
S1_CAIHDJAA_00494	99.2214	NA	NA
S1_CAIHDJAA_00495	97.4102	NA	NA
S1_CAIHDJAA_00496	81.102	NA	NA
S1_CAIHDJAA_00497	93.4467	NA	NA
S1_CAIHDJAA_00498	102.7689	NA	NA
S1_CAIHDJAA_00499	128.8168	NA	NA
S1_CAIHDJAA_00500	100.8571	NA	NA
S1_CAIHDJAA_00501	110.7261	NA	NA
S1_CAIHDJAA_00502	96.0678	NA	NA
S1_CAIHDJAA_00503	110.3646	NA	NA
S1_CAIHDJAA_00504	110.4667	NA	NA
S1_CAIHDJAA_00505	111.325	NA	NA
S1_CAIHDJAA_00506	107.253	NA	NA
S1_CAIHDJAA_00507	109.7572	NA	NA
S1_CAIHDJAA_00508	106.8004	NA	NA
S1_CAIHDJAA_00511	93.3806	NA	NA
S1_CAIHDJAA_00512	93.0573	NA	NA
S1_CAIHDJAA_00513	110.9215	NA	NA
S1_CAIHDJAA_00517	101.6195	NA	NA
S1_CAIHDJAA_00518	103.5254	NA	NA
S1_CAIHDJAA_00519	137.2281	NA	NA
S1_CAIHDJAA_00520	114.9418	NA	NA
S1_CAIHDJAA_00521	94.7914	NA	NA
S1_CAIHDJAA_00522	101.1721	NA	NA
S1_CAIHDJAA_00523	95.4872	NA	NA
S1_CAIHDJAA_00524	95.5882	NA	NA
S1_CAIHDJAA_00525	106.0192	NA	NA
S1_CAIHDJAA_00526	107.3946	NA	NA
S1_CAIHDJAA_00527	113.6983	NA	NA
S1_CAIHDJAA_00528	87.465	NA	NA
S1_CAIHDJAA_00529	96.6842	NA	NA
S1_CAIHDJAA_00530	104.9532	NA	NA
S1_CAIHDJAA_00531	113.0351	NA	NA
S1_CAIHDJAA_00532	107.746	NA	NA
S1_CAIHDJAA_00533	107.7778	NA	NA
S1_CAIHDJAA_00534	114.6981	NA	NA
S1_CAIHDJAA_00535	117.5671	NA	NA
S1_CAIHDJAA_00536	109.0527	NA	NA
S1_CAIHDJAA_00537	106.1138	NA	NA
S1_CAIHDJAA_00538	111.8021	NA	NA
S1_CAIHDJAA_00539	114.9759	NA	NA
S1_CAIHDJAA_00540	119.7914	NA	NA
S1_CAIHDJAA_00541	126.6098	NA	NA
S1_CAIHDJAA_00542	92.0085	NA	NA
S1_CAIHDJAA_00543	93.1354	NA	NA
S1_CAIHDJAA_00544	88.9103	NA	NA
S1_CAIHDJAA_00545	83.548	NA	NA
S1_CAIHDJAA_00546	81.593	NA	NA
S1_CAIHDJAA_00547	90.7298	NA	NA
S1_CAIHDJAA_00548	90.3377	NA	NA
S1_CAIHDJAA_00549	88.1289	NA	NA
S1_CAIHDJAA_00550	81.5639	NA	NA
